parameter sync wildtype,per wildtype,amp wildtype,per wildtype/wt,amp wildtype/wt,sync her7 mutant,per her7 mutant,amp her7 mutant,per her7 mutant/wt,amp her7 mutant/wt,sync her13 mutant,per her13 mutant,amp her13 mutant,per her13 mutant/wt,amp her13 mutant/wt,sync delta mutant,per delta mutant,amp delta mutant,per delta mutant/wt,amp delta mutant/wt,sync her7,per her7,amp her7,per her7,amp her7,sync her1 mutant,per her1 mutant,amp her1 mutant,per her1 mutant/wt,amp her1 mutant/wt,sync delta,per delta,amp delta,per delta,amp delta,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,
22,4.68777,2.27371,2.28202,2.27273,2.27273,2.2727,-inf,9.0909,inf,9.10837,2.27271,2.27368,2.27487,2.27265,2.26532,2.25153,2.27401,2.304,2.27303,2.29508,2.2727,2.27368,2.2749,2.27267,2.26536,2.27275,2.27403,2.281,2.27303,2.27169,2.27274,-1,9.88241e-07,3.6584e-306,9.91974e-07,2.24708,2.27754,2.78098,2.27652,2.77728,2.25263,2.274,2.29739,2.27302,2.28835,2.27273,0,2.27273,0,2.26294,2.27274,9.81313e-305,0.108781,9.81314e-305,9.47133e-07,
23,0.0676919,2.27371,2.28111,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11186e-305,1.67517e-06,2.2727,2.27441,2.27481,2.27339,2.26617,2.25445,2.27364,2.29971,2.27267,2.29171,2.27271,2.27405,2.27482,2.27304,2.26617,2.27275,2.27403,2.281,2.27303,2.27259,2.27273,-1,9.58285e-07,3.6584e-306,9.62293e-07,2.26075,2.27366,1.99067,2.27265,1.9888,2.25263,2.274,2.29739,2.27302,2.28926,2.27273,0,2.27273,0,2.26384,2.27274,9.79866e-305,0.129577,9.79867e-305,4.54542,
24,4.68777,2.27371,2.28139,2.27273,2.27273,2.27279,-inf,9.0909,inf,9.1109,2.2727,2.27368,2.27481,2.27265,2.2659,2.25132,2.27401,2.30418,2.27303,2.29589,2.27271,2.27405,2.27482,2.27304,2.2659,2.27275,2.27403,2.281,2.27303,2.27233,2.27272,-0.998935,3.21538e-06,3.65449e-306,3.22844e-06,2.2922,2.27049,1.16835,2.26948,1.16711,2.25263,2.274,2.29739,2.27302,2.28898,2.27273,0,2.27273,0,2.26357,2.27273,7.49961e-305,1.2054,7.49963e-305,1.04981e-05,
25,0.0676922,2.27295,2.27746,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11223e-305,1.67786e-06,2.2727,2.27441,2.27488,2.27417,2.26988,2.27516,2.27255,2.2696,2.27235,2.26533,2.27271,2.27405,2.27482,2.2738,2.26982,2.27276,2.27288,2.27802,2.27267,2.27327,2.27269,-0.999239,1.9759e-06,3.65686e-306,1.98735e-06,2.26075,2.27366,1.99067,2.27342,1.99199,2.27301,2.27255,2.27316,2.27233,2.26876,2.27272,0,2.27273,0,2.26748,2.27274,9.79866e-305,0.129826,9.80199e-305,4.54542,
26,4.68777,2.27602,2.2927,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11073e-305,1.66671e-06,2.2727,2.27368,2.27481,2.27036,2.25472,2.20173,2.27619,2.37667,2.27291,2.35644,2.27271,2.27405,2.27482,2.27072,2.25472,2.27273,2.27556,2.28856,2.27226,2.2686,2.27278,-inf,7.14285,inf,7.13647,2.26075,2.27366,1.99067,2.27034,1.97875,2.21223,2.27617,2.34726,2.27289,2.32713,2.27274,0,2.27273,0,2.25239,2.27274,8.68947e-305,0.563659,8.68065e-305,4.8848e-06,
27,0.067692,2.27295,2.27442,2.27273,2.27273,2.27268,-1.48758,2.03996e-06,1.65454e-305,2.05071e-06,2.2727,2.27368,2.27481,2.27343,2.27284,2.28067,2.27292,2.2609,2.27271,2.25966,2.27271,2.27405,2.27482,2.2738,2.27284,2.27275,2.27364,2.27599,2.27341,2.27428,2.2727,-1.00046,8.40908e-07,3.6613e-306,8.46907e-07,2.24538,2.27261,2.80963,2.27235,2.81525,2.27484,2.27327,2.26977,2.27306,2.26838,2.27272,0,2.27273,0,2.2705,2.27274,9.80979e-305,0.109246,9.81314e-305,4.54542,
28,4.68777,2.27371,2.28199,2.27273,2.27273,2.2727,-1.0015,1.86383e-06,1.11352e-305,1.86744e-06,2.27276,2.28831,2.25625,2.28729,2.2468,2.25103,2.27401,2.30382,2.27303,2.29492,2.27275,2.28834,2.2548,2.28731,2.24536,2.27275,2.27403,2.281,2.27303,2.27171,2.27274,-1,9.87272e-07,3.6584e-306,9.91014e-07,2.24719,2.28001,3.53294,2.27898,3.52825,2.25263,2.274,2.29739,2.27302,2.28837,2.27272,0,2.27273,0,2.26297,2.27275,7.74937e-305,0.72872,7.74937e-305,6.34488e-06,
29,0.0676918,2.27448,2.28059,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11148e-305,1.67556e-06,2.2727,2.27441,2.27391,2.27263,2.26579,2.25266,2.27437,2.30237,2.27263,2.29489,2.27271,2.27405,2.27482,2.27226,2.2667,2.27275,2.27403,2.281,2.27228,2.27312,2.27274,-inf,7.14285,inf,7.17438,2.26075,2.27366,1.99067,2.27188,1.98926,2.25263,2.274,2.29739,2.27225,2.28979,2.27273,0,2.27273,0,2.26437,2.27274,9.79866e-305,0.1302,9.79538e-305,4.54542,
30,4.68777,2.27448,2.28201,2.27273,2.27273,2.27264,-1.48908,2.1602e-06,1.65508e-305,2.16435e-06,2.2727,2.27368,2.27481,2.27189,2.26529,2.25194,2.27401,2.30353,2.27226,2.29462,2.27271,2.27405,2.27482,2.27226,2.26529,2.27275,2.27403,2.281,2.27228,2.27171,2.27274,-0.998935,4.56317e-06,3.65327e-306,4.58046e-06,2.24849,2.27965,2.47437,2.27785,2.47107,2.25263,2.274,2.29739,2.27225,2.28836,2.27273,0,2.27273,0,2.26295,2.27275,8.75455e-305,0.465615,8.75159e-305,4.05403e-06,
31,0.0676913,2.27602,2.27505,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11073e-305,1.67964e-06,2.27271,2.27368,2.275,2.27036,2.27241,2.2512,2.27582,2.30408,2.27254,2.30219,2.27271,2.27405,2.27482,2.27072,2.27222,2.27273,2.27556,2.27506,2.27226,2.27272,2.2728,-1.00106,3.3189e-06,3.65857e-306,3.34166e-06,2.26075,2.27366,1.99067,2.27034,1.99409,2.25217,2.27544,2.29684,2.27216,2.29482,2.27274,0,2.27273,0,2.26987,2.27274,8.68446e-305,0.582657,8.67566e-305,4.54542,
32,4.68778,2.28564,2.17097,2.27273,2.27273,2.27272,-1,1.67129e-06,1.10606e-305,1.76017e-06,2.2727,2.27368,2.27481,2.2608,2.38114,2.55919,2.28927,1.88945,2.27634,1.97841,2.27271,2.27405,2.27482,2.26118,2.38115,2.27236,2.28553,2.17246,2.27262,2.27428,2.2727,-1.00837,2.74493e-06,3.66976e-306,2.89626e-06,2.26075,2.27366,1.99067,2.26078,2.0897,2.55144,2.28957,1.9478,2.27666,2.03937,2.27276,0,2.27273,0,2.3787,2.27273,9.79922e-305,0.133345,9.74812e-305,1.2204e-06,
